epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.642,1.52557,3.01938,1.27226,0.00369,0.79268,0.4805,0.29545,1.34399,3.36186,1.05947,0.00042,0.00042,0.00042
2,78.3035,1.51634,1.92076,1.15637,0.8722,0.13872,0.36034,0.16975,1.47463,3.30422,1.13357,0.000842972,0.000842972,0.000842972
3,116.828,1.43919,1.7224,1.19512,0.12194,0.1565,0.07853,0.03673,1.45231,3.38867,1.23843,0.00124852,0.00124852,0.00124852
4,154.776,1.53776,1.74511,1.27383,0.15923,0.31911,0.12511,0.05886,1.67339,4.05215,1.48433,0.00163664,0.00163664,0.00163664
5,194.611,1.54,1.57989,1.23836,0.21807,0.49187,0.21633,0.10619,1.59467,3.08022,1.29211,0.0018416,0.0018416,0.0018416
6,234.4,1.52455,1.42604,1.224,0.57394,0.58537,0.51213,0.25525,1.61862,1.94536,1.3735,0.001802,0.001802,0.001802
7,273.714,1.43809,1.37102,1.21195,0.70203,0.53155,0.59414,0.3466,1.48828,1.74896,1.3134,0.0017624,0.0017624,0.0017624
8,313.177,1.47299,1.33245,1.24649,0.6262,0.55488,0.50938,0.26481,1.62614,2.14243,1.32515,0.0017228,0.0017228,0.0017228
9,352.458,1.39487,1.17677,1.17636,0.86585,0.69919,0.78251,0.45809,1.39359,1.36589,1.2057,0.0016832,0.0016832,0.0016832
10,391.747,1.40122,1.1116,1.20138,0.75278,0.51369,0.5657,0.31643,1.54993,1.94823,1.26012,0.0016436,0.0016436,0.0016436
11,430.739,1.42195,1.06301,1.18,0.83143,0.72178,0.77383,0.44303,1.41326,1.32127,1.18626,0.001604,0.001604,0.001604
12,469.273,1.43646,1.07771,1.17357,0.81121,0.75109,0.79122,0.4571,1.38711,1.20225,1.16101,0.0015644,0.0015644,0.0015644
13,507.823,1.37837,0.98811,1.15756,0.87076,0.76626,0.81014,0.4469,1.37337,1.17565,1.16829,0.0015248,0.0015248,0.0015248
